keyword,title,publication
smartphone_energy,A smartphone-driven methodology for estimating physical activities and energy expenditure in free living conditions,Journal of Biomedical Informatics
smartphone_energy,Households in energy transition: Promoting household energy-sufficient routines via app-based peer-to-peer interaction,Environmental Innovation and Societal Transitions
smartphone_energy,An ultrasensitive smartphone-assisted bicolor-ratiometric fluorescence sensing platform based on a “noise purifier” for point-of-care testing of pathogenic bacteria in food,Food Chemistry
smartphone_energy,Ceria and gold co-decorated porous MoS2@graphene nanocomposite electrochemical electrode integrated with smartphone-controlled microstation for simultaneous dual metal ions detection,Electrochimica Acta
smartphone_energy,Nanolignin-containing cellulose nanofibrils (LCNF)-enabled multifunctional ratiometric fluorescent bio-nanocomposite films for food freshness monitoring,Food Chemistry
smartphone_energy,Validity of the accelerometer and smartphone application in estimating energy expenditure in individuals with chronic stroke,Brazilian Journal of Physical Therapy
smartphone_energy,SmartDR:A device-to-device communication for post-disaster recovery,Journal of Network and Computer Applications
smartphone_energy,PIV analysis of opaque flow without using high-tech equipment,Flow Measurement and Instrumentation
smartphone_energy,Ultrasensitive and selective colorimetric and smartphone-based detection of arsenic ions in aqueous solution using alliin–chitosan–AgNPs,RSC Advances
smartphone_energy,A novel polymer-based probe for fluorescently ratiometric sensing of hydrogen sulfide with multiple applications,Analytica Chimica Acta
smartphone_energy,Combining portable solar-powered centrifuge to nanoplasmonic sensing chip with smartphone reader for rheumatoid arthritis detection,Chemical Engineering Journal
smartphone_energy,Smartphone use while eating increases caloric ingestion,Physiology & Behavior
smartphone_energy,"Machine learning-assisted Te–CdS@Mn3O4 nano-enzyme induced self-enhanced molecularly imprinted ratiometric electrochemiluminescence sensor with smartphone for portable and visual monitoring of 2,4-D",Biosensors and Bioelectronics
smartphone_energy,Connection-less BLE Performance Evaluation on Smartphones,Procedia Computer Science
smartphone_energy,Online Cloud-Based Battery Lifetime Estimation Framework for Smartphone Devices,Procedia Computer Science
smartphone_energy,Achieving smartphone-based colorimetric assay for Hg2+ with a bimetallic site strategy based on Hg2+-triggered oxidase-like catalytic activity of NSC/Co6Ni3S8 nanocomposite,Analytica Chimica Acta
smartphone_energy,A highly selective and sensitive europium-organic framework sensor for the fluorescence detection of fipronil in tea,Food Chemistry
smartphone_energy,Using mobile devices as scientific measurement instruments: Reliable android task scheduling,Pervasive and Mobile Computing
smartphone_energy,Dataset for multimodal transport analytics of smartphone users - Collecty,Data in Brief
smartphone_energy,Towards energy-efficient task scheduling on smartphones in mobile crowd sensing systems,Computer Networks
smartphone_energy,Chapter 7: Nanosensors for smartphone sensing method,Nanotechnology-Based Smart Remote Sensing Networks for Disaster Prevention
smartphone_energy,Microfluidic biosensor for one-step detection of multiplex foodborne bacteria ssDNA simultaneously by smartphone,Talanta
smartphone_energy,Smartphone-assisted multiple-mode assay of ascorbic acid using cobalt oxyhydroxide nanoflakes and carbon quantum dots,Microchemical Journal
smartphone_energy,Visual body composition assessment methods: A 4-compartment model comparison of smartphone-based artificial intelligence for body composition estimation in healthy adults,Clinical Nutrition
smartphone_energy,"The COVID-19 infodemic at your fingertips. Reciprocal relationships between COVID-19 information FOMO, bedtime smartphone news engagement, and daytime tiredness over time",Computers in Human Behavior
smartphone_energy,Rational design of MoS2 QDs and Eu3+ as a ratiometric fluorescent probe for point-of-care visual quantitative detection of tetracycline via smartphone-based portable platform,Analytica Chimica Acta
smartphone_energy,Tb-MOF-based luminescent recovery probe for rapid and facile detection of an anthrax biomarker,Sensors and Actuators B: Chemical
smartphone_energy,iSEA: IoT-based smartphone energy assistant for prompting energy-aware behaviors in commercial buildings,Applied Energy
smartphone_energy,An investigation of medical radiation detection using CMOS image sensors in smartphones,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment"
smartphone_energy,Effect of technological developments for smartphone lithium battery on metal-derived resource depletion and toxicity potentials,"Resources, Conservation and Recycling"
smartphone_energy,Dual-functionalization of fluorescent carbon dots via cyclodextrin and aminosilane for visual detection of β-glucuronidase and bioimaging,Analytica Chimica Acta
smartphone_energy,Au@Ag NPs-based probes with enhanced quenching effect immobilized on polymer platforms as solid-phase fluorescent sensors for malachite green detection,Sensors and Actuators B: Chemical
smartphone_energy,Smartphone-assisted energy efficient data communication for wearable devices,Computer Communications
smartphone_energy,Lateral flow assay with dual-emission nitrogen-doped carbon dots for ratiometric fluorescent determination of nitrite in food,Microchemical Journal
smartphone_energy,Measurement of Energy Expenditure on a Smartphone Using a Hand-held Breath Analyser,Procedia Engineering
smartphone_energy,Predicting depressive symptoms using smartphone data,Smart Health
smartphone_energy,Daily mobility patterns in patients with bipolar disorder and healthy individuals,Journal of Affective Disorders
smartphone_energy,Real time vanishing points detection on smartphones under Manhattan world assumption,Pattern Recognition Letters
smartphone_energy,Output-oriented power saving mode for mobile devices,Future Generation Computer Systems
smartphone_energy,Double-Network structure chemically programmed DNA Cryogel: Enzyme immobilization platform with enhanced catalytic activity for portable biosensing,Chemical Engineering Journal
smartphone_energy,Exploiting write-only-once characteristics of file data in smartphone buffer cache management,Pervasive and Mobile Computing
smartphone_energy,Carbon dots/Ruthenium(III) nanocomposites for FRET fluorescence detection and removal of mercury (II) via assembling into nanofibers,Talanta
smartphone_energy,A smartphone-integrated ratiometric fluorescence sensing platform for visual and quantitative point-of-care testing of tetracycline,Biosensors and Bioelectronics
smartphone_energy,An open-source development based on photogrammetry for a real-time IORT treatment planning system,Physica Medica
smartphone_energy,Analyzing present and future availability of critical high-tech minerals in waste cellphones: A case study of India,Waste Management
smartphone_energy,Pursuing softer urban mobility behaviors through game-based apps,Heliyon
smartphone_energy,Design of a multicylinder crank-slider wind energy harvester utlizing Faraday's law of electromagntic induciton,Applied Energy
smartphone_energy,Eco-FL: Enhancing Federated Learning sustainability in edge computing through energy-efficient client selection,Computer Communications
smartphone_energy,An inference engine for smartphones to preprocess data and detect stationary and transportation modes,Transportation Research Part C: Emerging Technologies
smartphone_energy,Self-Monitoring of Dietary Intake by Young Women: Online Food Records Completed on Computer or Smartphone Are as Accurate as Paper-Based Food Records but More Acceptable,Journal of the Academy of Nutrition and Dietetics
smartphone_energy,Cost-effective removal of Cr(VI) ions from aqueous media using L-cysteine functionalized gold nanoparticles embedded in melamine-based covalent organic framework (Cys-AuNPs@COF),Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy
smartphone_energy,Smartphones as an integrated platform for monitoring driver behaviour: The role of sensor fusion and connectivity,Transportation Research Part C: Emerging Technologies
smartphone_energy,"A fast, convenient and stable fluorescent probe for detecting Fe3+/2+ and its applications",Food Bioscience
smartphone_energy,Rapid point-of-care detection of SARS-CoV-2 RNA with smartphone-based upconversion luminescence diagnostics,Biosensors and Bioelectronics
smartphone_energy,Urine transduction to usable energy: A modular MFC approach for smartphone and remote system charging,Applied Energy
smartphone_energy,Smartphone based visual and quantitative assays on upconversional paper sensor,Biosensors and Bioelectronics
smartphone_energy,Ready-to-use ratiometric bioluminescence immunosensor for detection of ochratoxin a in pepper,Biosensors and Bioelectronics
smartphone_energy,"Wearable system for outdoor air quality monitoring in a WSN with cloud computing: Design, validation and deployment",Chemosphere
